Key Date;Legal Entity;Business Portfolio;Cohort;Factor Actuals;Factor Estimates
20211231;001;21;0000;L41200;100,00;100,00
20211231;001;21;0000;L41200;9,66;9,66
20211231;001;21;0000;L41200;90,34;90,34
20211231;001;21;0000;L41200;85,50;85,50
20211231;001;21;0000;L41200;14,50;14,50
20211231;001;21;0000;L41200;100,00;100,00
20211231;001;21;0000;L41200;88,55;88,55
20211231;001;21;0000;L41200;11,45;11,45
20211231;001;21;0000;L41200;0,00;0,00
20211231;001;21;0000;L41200;0,00;0,00
20211231;001;21;0000;L41200;100,00;100,00
20211231;001;21;0000;L41200;9,66;9,66
20211231;001;21;0000;L41200;90,34;90,34
20211231;001;21;0000;L41200;85,50;85,50
20211231;001;21;0000;L41200;14,50;14,50
20211231;001;21;0000;L41200;100,00;100,00
20211231;001;21;0000;L41200;88,55;88,55
20211231;001;21;0000;L41200;11,45;11,45
20211231;001;21;0000;L41200;0,00;0,00
20211231;001;21;0000;L41200;0,00;0,00
20211231;001;21;0000;L41200;100,00;100,00
20211231;001;21;0000;L41200;9,66;9,66
20211231;001;21;0000;L41200;90,34;90,34
20211231;001;21;0000;L41200;85,50;85,50
20211231;001;21;0000;L41200;14,50;14,50
20211231;001;21;0000;L41200;100,00;100,00
20211231;001;21;0000;L41200;88,55;88,55
20211231;001;21;0000;L41200;11,45;11,45
20211231;001;21;0000;L41200;0,00;0,00
20211231;001;21;0000;L41200;0,00;0,00
20211231;001;21;0000;L41200;100,00;100,00
20211231;001;21;0000;L41200;9,66;9,66
20211231;001;21;0000;L41200;90,34;90,34
20211231;001;21;0000;L41200;85,50;85,50
20211231;001;21;0000;L41200;14,50;14,50
20211231;001;21;0000;L41200;100,00;100,00
20211231;001;21;0000;L41200;9,66;9,66
20211231;001;21;0000;L41200;90,34;90,34
20211231;001;21;0000;L41200;88,55;88,55
20211231;001;21;0000;L41200;11,45;11,45
20211231;001;21;0000;L41200;0,00;0,00
20211231;001;21;0000;L41200;0,00;0,00
20211231;001;21;0000;L41200;100,00;100,00
20211231;001;21;0000;L41200;85,50;85,50
20211231;001;21;0000;L41200;100,00;100,00
20211231;001;21;0000;L41200;9,66;9,66
20211231;001;21;0000;L41200;90,34;90,34
20211231;001;21;0000;L41200;88,55;88,55
20211231;001;21;0000;L41200;14,50;14,50
20211231;001;21;0000;L41200;0,00;0,00
20211231;001;21;0000;L41200;0,00;0,00
20211231;001;21;0000;L41200;100,00;100,00
20211231;001;21;0000;L41200;11,45;11,45
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;97,93;97,93
20211231;001;31;0000;L41200;2,07;2,07
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;100,00;100,00
20211231;001;31;0000;L41200;0,00;0,00
